FIPS_CODE,fips,mean,_3_14_20,_6_14_20,_8_14_20,_11_2_20,newcases_all,newcases_p1,newcases_p2,newcases_p3,IncidenceRate,Population
01001,1001,55869,0,369,1245,2195,2195,660.4736079,1567.9536058,1700.4063076,3928.8335213,55869
01003,1003,223234,0,375,3881,6991,6991,167.98516355,1570.5492891,1393.1569564,3131.691409,223234
01005,1005,24686,0,237,662,1073,1073,960.05833266,1721.6235923,1664.9112857,4346.5932107,24686
01007,1007,22394,0,113,479,890,890,504.59944628,1634.3663481,1835.3130303,3974.2788247,22394
01009,1009,57826,0,120,1004,2178,2178,207.51910905,1528.7241033,2030.2286169,3766.4718293,57826
01011,1011,10101,0,305,500,656,656,3019.5030195,1930.5019305,1544.4015444,6494.4064944,10101
01013,1013,19448,0,542,796,1028,1028,2786.9189634,1306.0468943,1192.9247223,5285.89058,19448
01015,1015,113605,0,202,1980,4946,4946,177.8090753,1565.0719599,2610.800581,4353.6816161,113605
01017,1017,33254,0,486,925,1428,1428,1461.4783184,1320.1419378,1512.599988,4294.2202442,33254
01019,1019,26196,0,52,333,804,804,198.50358833,1072.6828523,1797.9844251,3069.1708658,26196
01021,1021,44428,0,143,898,1968,1968,321.86909156,1699.3787701,2408.3911047,4429.6389664,44428
01023,1023,12589,0,175,296,396,396,1390.1024704,961.15656526,794.34426881,3145.6033045,12589
01025,1025,23622,0,190,858,1407,1407,804.334942,2827.8723224,2324.1046482,5956.3119126,23622
01027,1027,13235,0,27,293,784,784,204.00453343,2009.8224405,3709.8602191,5923.687193,13235
01029,1029,14910,0,21,138,592,592,140.84507042,784.7082495,3044.9362844,3970.4896043,14910
01031,1031,52342,0,291,845,1892,1892,555.95888579,1058.4234458,2000.3056819,3614.6880135,52342
01033,1033,55241,0,269,1278,2335,2335,486.95715139,1826.5418801,1913.4338625,4226.932894,55241
01035,1035,12067,0,110,426,585,585,911.57702826,2618.7121903,1317.643159,4847.9323776,12067
01037,1037,10663,0,46,119,234,234,431.39829316,684.6103348,1078.4957329,2194.5043609,10663
01039,1039,37049,0,175,911,1895,1895,472.34743178,1986.5583417,2655.9421307,5114.8479041,37049
01041,1041,13772,0,118,389,626,626,856.81092071,1967.7606738,1720.8829509,4545.4545455,13772
01043,1043,83768,0,278,1344,2905,2905,331.86897144,1272.562315,1863.4800879,3467.9113743,83768
01045,1045,49172,0,179,886,1954,1954,364.02830879,1437.8101358,2171.9677865,3973.8062312,49172
01047,1047,37196,0,514,1452,1922,1922,1381.8690182,2521.7765351,1263.5767287,5167.222282,37196
01049,1049,71513,0,330,1953,3720,3720,461.45456071,2269.5174304,2470.8794205,5201.8514116,71513
01051,1051,81209,1,541,1863,3339,3338,664.95092908,1627.8983856,1817.5325395,4110.3818542,81209
01053,1053,36633,0,110,1226,1788,1788,300.2757077,3046.4335435,1534.1358884,4880.8451396,36633
01055,1055,102268,0,337,2292,4575,4575,329.52634255,1911.643916,2232.3698518,4473.5401103,102268
01057,1057,16302,0,49,267,619,619,300.57661637,1337.259232,2159.2442645,3797.0801129,16302
01059,1059,31362,0,734,1330,2185,2185,2340.4119635,1900.3890058,2726.2291946,6967.0301639,31362
01061,1061,26271,0,47,297,985,985,178.90449545,951.61965666,2618.8572951,3749.3814472,26271
01063,1063,8111,0,137,267,350,350,1689.0642338,1602.7616817,1023.3016891,4315.1276045,8111
01065,1065,14651,0,243,520,802,802,1658.5898573,1890.6559279,1924.7832912,5474.0290765,14651
01067,1067,17205,0,107,295,759,759,621.91223482,1092.7056088,2696.8904388,4411.5082825,17205
01069,1069,105882,0,318,1571,4346,4346,300.33433445,1183.3928335,2620.8420695,4104.5692375,105882
01071,1071,51626,0,120,1120,2351,2351,232.44101809,1937.0084841,2384.4574439,4553.9069461,51626
01073,1073,658573,7,2587,13948,24653,24646,391.75611512,1725.0934976,1625.4841908,3742.3338035,658573
01075,1075,13805,0,46,243,532,532,333.21260413,1427.0191959,2093.4444042,3853.6762043,13805
01077,1077,92729,0,240,1238,2794,2794,258.81870828,1076.2544619,1678.0079587,3013.0811289,92729
01079,1079,32924,0,70,395,961,961,212.61086138,987.1218564,1719.1106791,2918.8433969,32924
01081,1081,164542,0,724,2959,6742,6742,440.00923776,1358.3158099,2299.1090421,4097.4340898,164542
01083,1083,98915,1,254,1496,3178,3177,255.77516049,1255.6235151,1700.4498812,3211.8485568,98915
01085,1085,9726,0,398,589,732,732,4092.1242032,1963.8083488,1470.2858318,7526.2183837,9726
01087,1087,18068,0,128,366,571,571,708.43480186,1317.2459597,1134.6026124,3160.2833739,18068
01089,1089,372909,1,527,5538,9857,9856,141.05317919,1343.7594695,1158.1914086,2643.0040573,372909
01091,1091,18863,0,211,579,1068,1068,1118.5919525,1950.9091873,2592.3766103,5661.8777501,18863
01093,1093,29709,0,144,624,1145,1145,484.70160557,1615.6720186,1753.6773368,3854.050961,29709
01095,1095,96774,0,902,3236,4607,4607,932.0685308,2411.8048236,1416.7028334,4760.5761878,96774
01097,1097,413210,0,2736,10944,17387,17387,662.13305583,1986.3991675,1559.2555843,4207.7878077,413210
01099,1099,20733,0,134,494,673,673,646.31264168,1736.3623209,863.3579318,3246.0328944,20733
01101,1101,226486,2,2893,7061,10792,10790,1276.4585891,1840.2903491,1647.3424406,4764.0913787,226486
01103,1103,119679,0,657,2542,4600,4600,548.96849071,1575.0465829,1719.5999298,3843.6150035,119679
01105,1105,8923,0,76,484,605,605,851.73148044,4572.4532108,1356.0461728,6780.2308641,8923
01107,1107,19930,0,141,439,944,944,707.47616658,1495.2333166,2533.8685399,4736.5780231,19930
01109,1109,33114,0,339,782,1399,1399,1023.7361841,1337.802742,1863.2602525,4224.7991786,33114
01111,1111,22722,0,144,429,872,872,633.74702931,1254.2909955,1949.6523193,3837.6903442,22722
01113,1113,57961,0,296,1418,2001,2001,510.68822139,1935.7844068,1005.8487604,3452.3213885,57961
01115,1115,89512,0,182,1488,3292,3292,203.3246939,1459.022254,2015.3722406,3677.7191885,89512
01117,1117,217702,0,662,3649,7880,7880,304.08540114,1372.0590532,1943.482375,3619.6268293,217702
01119,1119,12427,0,258,383,489,489,2076.1245675,1005.8743059,852.98141144,3934.9802849,12427
01121,1121,79978,0,168,1385,2843,2843,210.05776589,1521.6684588,1823.0013254,3554.7275501,79978
01123,1123,40367,0,481,955,1414,1414,1191.5673694,1174.2264721,1137.0674065,3502.861248,40367
01125,1125,209355,3,1337,4468,10825,10822,637.19519476,1495.5458432,3036.4691553,5169.2101932,209355
01127,1127,63521,0,596,1631,2989,2989,938.27238236,1629.382409,2137.8756632,4705.5304545,63521
01129,1129,16326,0,92,468,778,778,563.51831435,2303.0748499,1898.8117114,4765.4048757,16326
01131,1131,10373,0,225,460,579,579,2169.0928372,2265.4969633,1147.2091005,5581.798901,10373
01133,1133,23629,0,124,466,987,987,524.77887342,1447.3739896,2204.9176859,4177.0705489,23629
02013,2013,3337,0,1,4,17,17,29.96703626,89.90110878,389.57147138,509.43961642,3337
02016,2016,5634,0,4,90,100,100,70.997515087,1526.4465744,177.49378772,1774.9378772,5634
02020,2020,288000,1,350,2538,8734,8733,121.18055556,759.72222222,2151.3888889,3032.2916667,288000
02050,2050,18386,0,5,25,499,499,27.19460459,108.77841836,2578.0485152,2714.0215381,18386
02060,2060,836,0,0,0,0,0,0,0,0,0,836
